formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C11H14O2	[M + H3N + H]+	C11H18NO2+	Terpenoids	0.796	Sesquiterpenoids	0.458	Bisabolane sesquiterpenoids	0.290	Organic acids and derivatives	0.497	Carboxylic acids and derivatives	0.525	Monocarboxylic acids and derivatives	0.544			Monocarboxylic acids and derivatives	0.544	Organic compounds; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	196.133	221	3.677	845630587599785916	845630489012667886	845630489008473581	69	
1	C10H14O	[M + H3N + H]+	C10H18NO+	Terpenoids	0.996	Monoterpenoids	0.744	Pinane monoterpenoids	0.368	Lipids and lipid-like molecules	0.727	Prenol lipids	0.791	Monoterpenoids	0.571			Monoterpenoids	0.571	Organic compounds; Lipids and lipid-like molecules; Prenol lipids; Organooxygen compounds; Monoterpenoids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	168.138	221	3.677	845630597699671067	845630488970724842	845630488970724841	68	
1	C11H19NO3	[M + Na]+	C11H19NNaO3+	Amino acids and Peptides	0.274	Monoterpenoids	0.171	Pyrrolidine alkaloids	0.169	Organic acids and derivatives	0.624	Carboxylic acids and derivatives	0.616					Carboxylic acids and derivatives	0.616	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	236.126	221	3.677	845630603064186479	845630489050416626	845630489050416625	70	
1	C11H16O2	[M + H3N + H]+	C11H20NO2+	Fatty acids	0.959	Fatty Acids and Conjugates	0.583	Unsaturated fatty acids	0.823	Lipids and lipid-like molecules	0.510							Lipids and lipid-like molecules	0.510	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	198.149	232	3.864	845630593593446972	845630489172051454	845630489172051453	73	
1	C10H16O	[M + H3N + H]+	C10H20NO+	Terpenoids	0.817	Monoterpenoids	0.539	Fatty aldehydes	0.314	Organic oxygen compounds	0.988	Organooxygen compounds	0.978	Carbonyl compounds	0.827	Ketones	0.624	Ketones	0.624	Organic compounds; Ketones; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	170.154	232	3.865	845630577650895700	845630489130108410	845630489130108409	72	
1	C11H18O3	[M + H3N + H]+	C11H22NO3+	Fatty acids	0.978	Fatty Acids and Conjugates	0.530	Jasmonic acids	0.504	Lipids and lipid-like molecules	0.632	Fatty Acyls	0.612					Fatty Acyls	0.612	Organic compounds; Lipids and lipid-like molecules; Ketones; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	216.160	232	3.865	845630578770775097	845630489213994498	845630489213994497	74	
1	C11H21NO3	[M + Na]+	C11H21NNaO3+	Amino acids and Peptides	0.475	Small peptides	0.256	Aminoacids	0.249	Organic acids and derivatives	0.961	Carboxylic acids and derivatives	0.945	Amino acids, peptides, and analogues	0.533	Amino acids and derivatives	0.534	Amino acids and derivatives	0.534	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	238.141	232	3.865	845630579953568938	845630489251743238	845630489251743237	75	
1	C10H14	[M + H3N + H]+	C10H18N+	Terpenoids	0.694	Monoterpenoids	0.509	Pinane monoterpenoids	0.287	Hydrocarbons	0.970	Polycyclic hydrocarbons	0.586					Polycyclic hydrocarbons	0.586	Organic compounds; Hydrocarbons; Olefins; Polycyclic hydrocarbons; Unsaturated hydrocarbons; Unsaturated aliphatic hydrocarbons; Chemical entities	152.143	232	3.865	845630580758875482	845630489088165366	845630489088165365	71	
2	C11H14O4	[M + H]+	C11H15O4+	Shikimates and Phenylpropanoids	0.519	Cyclic polyketides	0.190	Phthalide derivatives	0.125	Organoheterocyclic compounds	0.812	Benzodioxoles	0.621					Benzodioxoles	0.621	Organic compounds; Organoheterocyclic compounds; Alcohols and polyols; Ethers; Primary alcohols; Benzodioxoles; Organooxygen compounds; Acetals; Secondary alcohols; Benzene and substituted derivatives; Benzenoids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	211.097	232	3.868	845630588954546269	845630489339823630	845630489335629325	77	
1	C9H10O3	[M - H2O + H]+	C9H9O2+	Shikimates and Phenylpropanoids	0.789	Phenolic acids (C6-C1)	0.778	Simple phenolic acids	0.871	Benzenoids	0.998	Benzene and substituted derivatives	0.998	Benzoic acids and derivatives	0.997	Benzoic acid esters	0.989	Benzoic acid esters	0.989	Organic compounds; Alcohols and polyols; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Benzoyl derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Benzoic acid esters; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	149.060	232	3.869	845630590162505909	845630489293686282	845630489293686281	76	
1	C12H27NO3	[M + H]+	C12H28NO3+	Fatty acids	0.987	Spingolipids	0.443	Sphingoid bases	0.935	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.998	Alkanolamines	0.983	1,2-aminoalcohols	0.973	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Dialkylamines; Amines; Secondary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	234.206	235	3.913	845630580846955883	845630489381766674	845630489381766673	78	
2	C12H21N3O6S	[M + H]+	C12H22N3O6S+	Amino acids and Peptides	0.635	Small peptides	0.320	Tripeptides	0.202	Organic acids and derivatives	0.943	Carboxylic acids and derivatives	0.457	Amino acids, peptides, and analogues	0.474	Amino acids and derivatives	0.474	Alpha amino acids	0.679	Organic compounds; Organosulfur compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monoalkylamines; Carbonyl compounds; Alpha amino acids; Amines; Primary amines; Organic oxides; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	336.123	239	3.978	845630600937674046	845630489419515414	845630489419515413	79	
2	C13H26O2	[M + H3N + H]+	C13H30NO2+	Terpenoids	0.814	Monoterpenoids	0.369	Irregular monoterpenoids	0.187	Lipids and lipid-like molecules	0.638							Lipids and lipid-like molecules	0.638	Organic compounds; Lipids and lipid-like molecules; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	232.227	259	4.322	845630580293307659	845630489461458458	845630489457264153	80	
1	C12H18O2	[M + H3N + H]+	C12H22NO2+	Terpenoids	0.901	Monoterpenoids	0.371	Irregular monoterpenoids	0.155	Lipids and lipid-like molecules	0.555							Lipids and lipid-like molecules	0.555	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	212.165	261	4.351	845630576770091756	845630489532761630	845630489532761629	81	
1	C13H25NO3	[M + Na]+	C13H25NNaO3+	Alkaloids	0.544	Ornithine alkaloids	0.395	Pyrrolidine alkaloids	0.299	Organic acids and derivatives	0.946	Carboxylic acids and derivatives	0.937	Amino acids, peptides, and analogues	0.773	Amino acids and derivatives	0.773	Amino acids	0.541	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Dialkylamines; Amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	266.173	289	4.809	845630577692838745	845630489570510370	845630489570510369	82	
1	C13H20O2	[M + H3N + H]+	C13H24NO2+	Fatty acids	0.783	Fatty Acids and Conjugates	0.342	Unsaturated fatty acids	0.502	Lipids and lipid-like molecules	0.537							Lipids and lipid-like molecules	0.537	Organic compounds; Lipids and lipid-like molecules; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	226.180	289	4.809	845630595090813661	845630489612453414	845630489612453413	83	
1	C13H22O3	[M + H3N + H]+	C13H26NO3+	Fatty acids	0.964	Fatty Acids and Conjugates	0.600	Oxo fatty acids	0.822	Lipids and lipid-like molecules	0.736	Fatty Acyls	0.713	Fatty acids and conjugates	0.633			Fatty acids and conjugates	0.633	Organic compounds; Lipids and lipid-like molecules; Ketones; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	244.191	289	4.812	845630604494444278	845630489654396458	845630489654396457	84	
2	C12H24O	[M + H3N + H]+	C12H28NO+	Terpenoids	0.987	Sesquiterpenoids	0.726	Caryophyllane sesquiterpenoids	0.112	Lipids and lipid-like molecules	0.760	Prenol lipids	0.709					Prenol lipids	0.709	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Prenol lipids; Organooxygen compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	202.217	290	4.837	845630599264146597	845630489687950894	845630489687950893	85	
4	C8H11N5O2	[M + H3N + H]+	C8H15N6O2+	Alkaloids	0.923	Histidine alkaloids	0.574	Imidazole alkaloids	0.574	Organoheterocyclic compounds	0.993	Azoles	0.635					Azoles	0.635	Organic compounds; Organoheterocyclic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Carbonyl compounds; Acetamides; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	227.125	293	4.890	845630600233030936	845630489725699634	845630489725699633	86	
2	C14H28O3	[M + H3N + H]+	C14H32NO3+	Fatty acids	0.948	Fatty acyls	0.509	Fatty alcohols	0.653	Lipids and lipid-like molecules	0.758	Fatty Acyls	0.772					Fatty Acyls	0.772	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Primary alcohols; Organooxygen compounds; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	262.238	295	4.914	845630576304523916	845630489767642678	845630489763448373	87	
2	C13H18O4	[M + H]+	C13H19O4+	Shikimates and Phenylpropanoids	0.453	Sesquiterpenoids	0.169	Bisabolane sesquiterpenoids	0.714	Benzenoids	0.973	Benzene and substituted derivatives	0.881					Benzene and substituted derivatives	0.881	Organic compounds; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	239.128	300	4.995	845630606033754016	845630489801197114	845630489801197113	88	
1	C10H22O3	[M + H]+	C10H23O3+	Fatty acids	0.992	Fatty acyls	0.992	Fatty alcohols	0.992	Organic oxygen compounds	0.997	Organooxygen compounds	0.987	Alcohols and polyols	0.815	Primary alcohols	0.614	Primary alcohols	0.614	Organic compounds; Alcohols and polyols; Primary alcohols; Organooxygen compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	191.164	303	5.048	845630576296135305	845630489838945854	845630489838945853	89	
2	C11H18N2O6S	[M + H]+	C11H19N2O6S+	Amino acids and Peptides	0.658	Small peptides	0.123	Imidazole alkaloids	0.069	Organic acids and derivatives	0.939	Organic sulfonic acids and derivatives	0.620	Organosulfonic acids and derivatives	0.618			Organosulfonic acids and derivatives	0.618	Organic compounds; Organosulfur compounds; Organic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Sulfonyls; Organic 1,3-dipolar compounds; Propargyl-type 1,3-dipolar organic compounds; Organic oxides; Hydrocarbon derivatives; Organic sulfonic acids and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	307.096	315	5.254	845630608227375308	845630489876694594	845630489876694593	90	
1	C9H22Si	[M + H]+	C9H23Si+	Fatty acids	0.643	Fatty acyls	0.765	Pinane monoterpenoids	0.108	Organometallic compounds	0.561	Organometalloid compounds	0.561					Organometalloid compounds	0.561	Organic compounds; Organometallic compounds; Organometalloid compounds; Hydrocarbon derivatives; Chemical entities	159.157	321	5.347	845630595690599190	845630489947997770	845630489947997769	92	
4	C13H25NO2	[M + Na]+	C13H25NNaO2+	Alkaloids	0.417	Pseudoalkaloids (transamidation)	0.368	Pyrrolidine alkaloids	0.371	Organic acids and derivatives	0.621	Carboxylic acids and derivatives	0.610					Carboxylic acids and derivatives	0.610	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	250.178	321	5.352	845630578342955996	845630489910249030	845630489910249029	91	
3	C13H22O2	[M + H3N + H]+	C13H26NO2+	Terpenoids	0.812	Monoterpenoids	0.469	Irregular monoterpenoids	0.347	Lipids and lipid-like molecules	0.713							Lipids and lipid-like molecules	0.713	Organic compounds; Lipids and lipid-like molecules; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	228.196	321	5.353	845630577789307767	845630489985746510	845630489985746509	93	
1	C13H20O3	[M + H]+	C13H21O3+	Polyketides	0.815	Cyclic polyketides	0.576	2-pyrone derivatives	0.219	Benzenoids	0.631	Benzene and substituted derivatives	0.672	Phenoxy compounds	0.515			Phenoxy compounds	0.515	Organic compounds; Alkyl aryl ethers; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Phenoxy compounds; Chemical entities	225.149	329	5.477	845630587708837835	845630490031883858	845630490027689553	94	
3	C33H42O8	[M + H3N + H]+	C33H46NO8+	Shikimates and Phenylpropanoids	0.536	Flavonoids	0.433	Flavan-3-ols	0.099	Phenylpropanoids and polyketides	0.620	Flavonoids	0.533	Hydroxyflavonoids	0.617	4'-hydroxyflavonoids	0.598	4'-hydroxyflavonoids	0.598	Organic compounds; Organoheterocyclic compounds; Benzopyrans; Alkyl aryl ethers; Alcohols and polyols; Phenols; Ethers; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Flavonoids; Flavans; Benzenediols; Secondary alcohols; Benzene and substituted derivatives; Polyols; Benzenoids; 4'-hydroxyflavonoids; Hydroxyflavonoids; 7-hydroxyflavonoids; 1-benzopyrans; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities	584.322	329	5.478	845630596906947510	845630490069632598	845630490069632597	95	
1	C14H22O4	[M + H]+	C14H23O4+	Terpenoids	0.896	Sesquiterpenoids	0.665	Caryophyllane sesquiterpenoids	0.092	Lipids and lipid-like molecules	0.633							Lipids and lipid-like molecules	0.633	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	255.159	331	5.520	845630588191182880	845630490107381338	845630490107381337	96	
1	C12H14O3	[M - H2O + H]+	C12H13O2+	Shikimates and Phenylpropanoids	0.521	Phenylpropanoids (C6-C3)	0.817	Cinnamic acids and derivatives	0.833	Benzenoids	0.970	Benzene and substituted derivatives	0.681					Benzene and substituted derivatives	0.681	Organic compounds; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	189.091	340	5.660	845630584076570219	845630490145130078	845630490145130077	97	
2	C11H16O	[M + H]+	C11H17O+	Terpenoids	0.990	Monoterpenoids	0.558	Pinane monoterpenoids	0.185	Lipids and lipid-like molecules	0.634	Prenol lipids	0.717					Prenol lipids	0.717	Organic compounds; Lipids and lipid-like molecules; Ketones; Prenol lipids; Organooxygen compounds; Carbonyl compounds; Cyclic ketones; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	165.127	342	5.695	845630601944307133	845630490182878818	845630490182878817	98	
2	C33H45NO8	[M + H]+	C33H46NO8+	Alkaloids	0.932	Pseudoalkaloids (transamidation)	0.868	Terpenoid alkaloids	0.528	Organic acids and derivatives	0.956	Carboxylic acids and derivatives	0.959	Amino acids, peptides, and analogues	0.699	Amino acids and derivatives	0.697	Amino acids and derivatives	0.697	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Alcohols and polyols; Phenols; Benzoic acids and derivatives; Piperidines; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Alkaloids and derivatives; Benzoyl derivatives; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Benzoic acid esters; Secondary alcohols; Trialkylamines; Benzene and substituted derivatives; Benzenoids; Amines; Tertiary amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Organic nitrogen compounds; Chemical entities	584.322	343	5.716	845630608793606485	845630490220627558	845630490220627557	99	
1	C10H10O4	[M - H2O + H]+	C10H9O3+	Shikimates and Phenylpropanoids	0.913	Phenolic acids (C6-C1)	0.978	Simple phenolic acids	0.966	Benzenoids	1.000	Benzene and substituted derivatives	0.998	Benzoic acids and derivatives	0.998	Benzoic acid esters	0.856	Benzoic acid esters	0.856	Organic compounds; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Benzoyl derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Benzoic acid esters; Benzene and substituted derivatives; Benzenoids; Benzoic acids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	177.055	344	5.725	845630585813012195	845630490258376298	845630490258376297	100	
2	C14H31NO	[M + H]+	C14H32NO+	Fatty acids	0.988	Spingolipids	0.826	Sphingoid bases	0.983	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.997	Alkanolamines	0.934	1,2-aminoalcohols	0.893	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Dialkylamines; Amines; Secondary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	230.248	344	5.735	845630595086619351	845630490296125038	845630490296125037	101	
2	C31H20O10	[M + H]+	C31H21O10+	Shikimates and Phenylpropanoids	0.979	Flavonoids	0.934	Flavones	0.981	Phenylpropanoids and polyketides	0.939	Flavonoids	0.956	Biflavonoids and polyflavonoids	0.862			Biflavonoids and polyflavonoids	0.862	Organic compounds; Organoheterocyclic compounds; Pyrans; Benzopyrans; Phenols; Chromones; Phenylpropanoids and polyketides; Organic acids and derivatives; Organooxygen compounds; Flavonoids; Pyranones and derivatives; Biflavonoids and polyflavonoids; Flavones; Benzene and substituted derivatives; Benzenoids; 4'-hydroxyflavonoids; Hydroxyflavonoids; 5-hydroxyflavonoids; 7-hydroxyflavonoids; 1-benzopyrans; Vinylogous acids; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities	553.113	344	5.735	845630610211281337	845630490333873778	845630490333873777	102	
2	C16H32O3	[M + H3N + H]+	C16H36NO3+	Fatty acids	0.950	Fatty esters	0.330	Fatty alcohols	0.531	Lipids and lipid-like molecules	0.756	Fatty Acyls	0.769					Fatty Acyls	0.769	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Monocarboxylic acids and derivatives; Carbonyl compounds; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	290.269	346	5.774	845630595774485272	845630490371622518	845630490371622517	103	
2	C30H18O10	[M + H]+	C30H19O10+	Shikimates and Phenylpropanoids	0.978	Flavonoids	0.863	Flavones	0.949	Phenylpropanoids and polyketides	0.921	Flavonoids	0.949	Hydroxyflavonoids	0.926	4'-hydroxyflavonoids	0.652	4'-hydroxyflavonoids	0.652	Organic compounds; Organoheterocyclic compounds; Pyrans; Benzopyrans; Phenols; Chromones; Phenylpropanoids and polyketides; Organic acids and derivatives; Organooxygen compounds; Flavonoids; Pyranones and derivatives; Flavones; Benzene and substituted derivatives; Benzenoids; 4'-hydroxyflavonoids; Hydroxyflavonoids; 5-hydroxyflavonoids; 7-hydroxyflavonoids; 1-benzopyrans; Vinylogous acids; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; 1-hydroxy-4-unsubstituted benzenoids; Chemical entities	539.098	348	5.799	845630609552775552	845630490409371258	845630490409371257	104	
3	C16H30O2	[M + H3N + H]+	C16H34NO2+	Terpenoids	0.634	Sesquiterpenoids	0.410	Fatty alcohols	0.338	Lipids and lipid-like molecules	0.848	Fatty Acyls	0.553					Fatty Acyls	0.553	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Organooxygen compounds; Carbonyl compounds; Fatty Acyls; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	272.258	351	5.855	845630580737903956	845630490447119998	845630490447119997	105	
3	C15H16O3	[M + H3N + H]+	C15H20NO3+	Terpenoids	0.594	Sesquiterpenoids	0.290	Naphthoquinones	0.174	Benzenoids	0.891							Benzenoids	0.891	Organic compounds; Organoheterocyclic compounds; Ketones; Organooxygen compounds; Carbonyl compounds; Benzenoids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	262.144	355	5.920	845630591747953009	845630490480674434	845630490480674433	106	
1	C17H37NO2	[M + H]+	C17H38NO2+	Fatty acids	0.991	Spingolipids	0.841	Sphingoid bases	0.982	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.994	Alkanolamines	0.969	1,2-aminoalcohols	0.960	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Dialkylamines; Amines; Secondary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	288.290	357	5.947	845630579496389734	845630490518423174	845630490518423173	107	
1	C2H5N3S	[M + K]+	C2H5KN3S+	Alkaloids	0.710	Histidine alkaloids	0.231	Imidazole alkaloids	0.233	Organoheterocyclic compounds	0.641							Organoheterocyclic compounds	0.641	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Organonitrogen compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic nitrogen compounds; Chemical entities	141.983	357	5.949	845630584399531686	845630490556171914	845630490556171913	108	
1	C13H20O2	[M - H2O + H]+	C13H19O+	Terpenoids	0.888	Sesquiterpenoids	0.799	Bisabolane sesquiterpenoids	0.825	Benzenoids	0.732	Benzene and substituted derivatives	0.657					Benzene and substituted derivatives	0.657	Organic compounds; Alcohols and polyols; Organooxygen compounds; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	191.143	361	6.023	845630578162600884	845630490589726350	845630490589726349	109	
1	C17H37NO2	[M + H]+	C17H38NO2+	Fatty acids	0.905	Spingolipids	0.632	Sphingoid bases	0.932	Organic nitrogen compounds	1.000	Organonitrogen compounds	1.000	Amines	0.999	Alkanolamines	0.977	1,2-aminoalcohols	0.974	Organic compounds; Alcohols and polyols; Organonitrogen compounds; Primary alcohols; Organooxygen compounds; 1,2-aminoalcohols; Trialkylamines; Amines; Tertiary amines; Alkanolamines; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	288.290	366	6.107	845630581694205401	845630490627475090	845630490627475089	110	
1	C13H20O2	[M - H2O + H]+	C13H19O+	Terpenoids	0.889	Sesquiterpenoids	0.813	Bisabolane sesquiterpenoids	0.830	Benzenoids	0.746	Benzene and substituted derivatives	0.670					Benzene and substituted derivatives	0.670	Organic compounds; Alcohols and polyols; Organooxygen compounds; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	191.143	368	6.130	845630580331056397	845630490665223830	845630490665223829	111	
2	C12H18O	[M + H]+	C12H19O+	Terpenoids	0.981	Sesquiterpenoids	0.713	Bisabolane sesquiterpenoids	0.437	Lipids and lipid-like molecules	0.505							Lipids and lipid-like molecules	0.505	Organic compounds; Lipids and lipid-like molecules; Organooxygen compounds; Carbonyl compounds; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	179.143	369	6.151	845630596802089884	845630490698778266	845630490698778265	112	
