CLUSTERID1	CLUSTERID2	DeltaMZ	MinRatio	Cosine	AlignScore2	AlignScore3
1178	3115	-76.177	0.000	0.8645	0.4313	1
1178	3133	-90.193	0.000	0.8676	0.4300	1
1178	3140	13.125	0.000	0.8883	0.4326	1
1178	3149	-7.102	0.000	0.8557	0.4928	1
1178	3160	-8.114	0.000	0.9068	0.4210	1
1178	3161	17.902	0.000	0.8416	0.4915	1
1178	3182	-8.114	0.000	0.8645	0.5399	1
1178	3189	-8.140	0.000	0.8859	0.5200	1
1178	3203	-7.102	0.000	0.7706	0.3892	1
1178	3236	-8.138	0.000	0.9034	0.4298	1
1178	3284	17.901	0.000	0.8641	0.4438	1
1178	3293	13.125	0.000	0.9213	0.5094	1
1178	3322	-6.099	0.000	0.9015	0.5305	1
1178	3323	-7.101	0.000	0.8291	0.4774	1
1178	3367	-6.099	0.000	0.8697	0.5104	1
1178	3404	-6.099	0.000	0.7515	0.4171	1
1178	3423	-8.115	0.000	0.9094	0.4670	1
1178	3428	13.125	0.000	0.9231	0.5646	1
1178	3444	13.125	0.000	0.9028	0.4308	1
1178	3455	-6.099	0.000	0.8128	0.5051	1
1179	1246	44.062	0.000	0.7127	0.5974	1
1179	1279	-26.016	0.000	0.7367	0.6498	1
1179	1321	44.062	0.000	0.7068	0.5824	1
1179	1426	-28.031	0.000	0.8808	0.8231	1
1179	1531	-42.047	0.000	0.8719	0.8288	1
1179	1631	41.063	0.000	0.7386	0.5889	1
1180	1261	-13.125	0.000	0.9435	0.5959	1
1180	1315	18.900	0.000	0.9145	0.5940	1
1180	1366	-15.036	0.000	0.8432	0.4279	1
1180	1433	70.078	0.000	0.9443	0.5974	1
1180	1498	-119.168	0.000	0.9425	0.5987	1
1180	1576	-51.214	0.000	0.9290	0.5262	1
1180	1833	-33.154	0.000	0.7285	0.3100	1
1180	1860	-2.044	0.000	0.9389	0.5917	1
1180	1891	-33.204	0.000	0.7322	0.3130	1
1180	1990	-33.204	0.000	0.8960	0.4462	1
1180	2036	-33.204	0.000	0.9200	0.5405	1
1180	2255	48.838	0.000	0.8748	0.4847	1
1180	2274	-81.261	0.000	0.9459	0.5953	1
1180	2282	-67.209	0.000	0.9388	0.5633	1
1180	2340	-65.266	0.000	0.9360	0.5785	1
1180	2456	-21.240	0.000	0.9408	0.6079	1
1180	2466	20.806	0.000	0.7183	0.3825	1
1180	2789	-1.142	0.000	0.8082	0.5658	1
1180	2793	-21.240	0.000	0.9400	0.6073	1
1180	2888	-35.255	0.000	0.9372	0.6087	1
1180	2924	-47.256	0.000	0.9006	0.5317	1
1180	3017	-182.995	0.000	0.7578	0.4150	1
1180	3115	-89.303	0.000	0.8940	0.5377	1
1180	3404	-19.225	0.000	0.7679	0.4040	1
1182	1440	-0.000	0.000	0.7091	0.4754	1
1182	2041	-0.000	0.000	0.7310	0.5688	1
1183	1191	14.015	0.000	0.9155	0.7626	1
1183	1197	45.057	0.000	0.7514	0.5944	1
1183	1199	28.031	0.000	0.8121	0.6394	1
1183	1200	-0.105	0.000	0.9231	0.7939	1
