"feature_id"	"feature"	"VIP"	"LV1"	"LV2"
291	"NA_[291_311.27_1.2]"	1.17794610051168	-0.052912575159342	-0.0654021640293143
1992	"PC(P-16:0/20:3(5Z,8Z,11Z))_[1992_768.59_6.9]"	1.17633623223975	-0.0411635101564588	0.0788562595841018
1642	"NA_[1642_748.66_6.1]"	1.17537705722603	-0.0466149094079192	-0.0983984579625304
895	"Eerectquione B_[895_507.27_3.4]"	1.17185427455685	-0.0373947702813625	0.0658436077366952
1799	"PC(15:0/17:1(9Z))_[1799_732.55_6.4]"	1.17066025427602	-0.0544624720086855	0.0530372316660758
712	"NA_[712_505.32_2.8]"	1.17007420522599	-0.0614910958048781	-0.0526374131886953
2184	"NA_[2184_818.6_7.4]"	1.16721186559286	-0.0662109212856379	-0.0184034875992915
2477	"NA_[2477_748.62_8.3]"	1.16244416319103	-0.0578159311557115	-0.0633584850153828
1818	"NA_[1818_840.62_6.5]"	1.16207799178151	-0.0557956965108531	0.0559300439343539
430	"NA_[430_340.3_1.7]"	1.15943725870684	-0.050515559008857	-0.0757590033717889
2129	"NA_[2129_726.54_7.3]"	1.15788257981335	-0.0569938859937719	0.0345863982395578
927	"NA_[927_530.35_3.5]"	1.15776102111588	-0.0377607228976875	0.0603099451337397
2022	"PC(17:1(9Z)/14:0)_[2022_718.54_7]"	1.15510812555953	-0.0649781330007574	-0.0134854725914996
1819	"NA_[1819_782.57_6.5]"	1.15496120337003	-0.0462775960401892	0.0724686861833775
850	"NA_[850_530.35_3.3]"	1.15403962404975	-0.0517812758369997	0.046701929704016
812	"NA_[812_543.34_3.2]"	1.15336031000532	-0.0435552287068475	0.0538175100973577
2076	"NA_[2076_794.61_7.1]"	1.15318143567777	-0.0545587808582546	0.0606605385478228
810	"Precorallopyronin A_[810_529.33_3.1]"	1.15157726727566	-0.0417635131627033	0.0549856743597686
281	"NA_[281_317.32_1.2]"	1.14950363351197	-0.0583175428025521	0.010847341924707
1012	"NA_[1012_530.35_3.7]"	1.14867512271258	-0.0436764423245984	0.0543574211817378
1639	"N-(2R-methyl-3-hydroxy-ethyl)-16,16-dimethyl-5Z,8Z,11Z,14Z-docosatetraenoyl amine_[1639_435.39_6.1]"	1.14616418525971	-0.0454158823451774	-0.095730733552832
2186	"NA_[2186_770.57_7.4]"	1.14517533909051	-0.0616910030792557	-0.012763581739052
2144	"NA_[2144_776.56_7.3]"	1.1440294322502	-0.0547096965553829	-0.0503306769198729
725	"Peniginsengin C_[725_319.19_2.8]"	1.14354235638511	-0.0606994076892124	-0.075406139452077
2286	"NA_[2286_746.57_7.7]"	1.14235230012722	-0.0577117583808756	-0.0431312948657218
1900	"NA_[1900_808.59_6.7]"	1.13960585038754	-0.053505727725519	0.0607058816308678
926	"NA_[926_531.35_3.5]"	1.13789032746863	-0.0369594103828878	0.058947053946947
1729	"1,2-di-O-palmitoyl-sn-glycero-3-phosphocholine_[1729_756.55_6.3]"	1.13719618470513	-0.0567562739753082	0.0525113296537044
280	"NA_[280_316.32_1.2]"	1.1344239058826	-0.0573244757329246	0.00986572826662372
363	"NA_[363_591.51_1.4]"	1.13120957903295	-0.053436203336171	-0.0759470926499539
1601	"NA_[1601_806.71_6]"	1.12983813558945	-0.0482955038892362	-0.0868815917387785
2537	"PC(p-16:0/20:0)_[2537_774.64_8.5]"	1.12726895635228	-0.0614351116626077	-0.0272180299407529
1983	"1,2-di-O-palmitoyl-sn-glycero-3-phosphocholine_[1983_756.55_6.9]"	1.12725657569595	-0.0451702277117083	-0.086955156873269
556	"NA_[556_342.37_2.1]"	1.12612156818222	-0.0574979591804479	0.00706284469564318
367	"NA_[367_374.36_1.4]"	1.12586964306096	-0.0572872591238306	0.00941171573303096
1575	"1,2-dipalmitoleoyl-sn-glycero-3-phosphocholine_[1575_730.54_5.9]"	1.12546987132951	-0.0422932588991872	0.0752205661514564
304	"NA_[304_549.39_1.3]"	1.12400206773204	-0.0535515597688213	-0.0602599053614743
178	"NA_[178_244.26_0.9]"	1.1218320783033	-0.0567133030286764	0.0266473189594231
