cluster index	parent mass	RTMean	ATTRIBUTE_treatment:GNPSGROUP:nan	ATTRIBUTE_treatment:GNPSGROUP:mock	ATTRIBUTE_treatment:GNPSGROUP:untreated	ATTRIBUTE_treatment:GNPSGROUP:PET	ATTRIBUTE_sample_name:GNPSGROUP:blank	ATTRIBUTE_sample_name:GNPSGROUP:mock	ATTRIBUTE_sample_name:GNPSGROUP:untreated	ATTRIBUTE_sample_name:GNPSGROUP:PET	ATTRIBUTE_sample_name:GNPSGROUP:bk_mapp
260	861.4797462268622	10.714256	0	0.0	0.0	0.0	300615.62	0.0	0.0	0.0	424584.1
261	954.6155625966732	10.793334	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	824108.25
262	959.5705334822264	10.793334	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	903184.06
263	158.96414657882474	10.84339	0	356864.22	390273.94	367794.53	346437.0	356864.22	390273.94	367794.53	0.0
264	326.8766672836206	10.887059	0	405822.38	427140.2	391700.75	394796.22	405822.38	427140.2	391700.75	338438.8
265	702.2143911057831	10.852856	0	1988310.5	1910728.1	1588148.8	1742351.1	1988310.5	1910728.1	1588148.8	3464109.5
266	707.16936230403	10.852856	0	1879109.1	1897790.1	1656680.8	1556263.2	1879109.1	1897790.1	1656680.8	2133281.5
267	326.87667383054657	10.991156	0	397149.5	433283.72	385568.56	387448.06	397149.5	433283.72	385568.56	368490.9
268	633.5432167472297	11.028494	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	415399.38
269	504.5141786583077	11.066662	0	0.0	0.0	1869779.5	0.0	0.0	0.0	1869779.5	0.0
270	433.3102576173171	11.121265	0	0.0	0.0	0.0	593834.9	0.0	0.0	0.0	2116370.2
271	455.29216332149423	11.121265	0	0.0	0.0	0.0	443345.0	0.0	0.0	0.0	1274888.4
272	792.5626092937415	11.174929	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	609425.1
273	684.2034954040693	11.20585	0	686125.9	746545.75	698177.0	1547987.1	686125.9	746545.75	698177.0	803115.44
274	504.5141618138197	11.257736	0	0.0	0.0	2060713.0	0.0	0.0	0.0	2060713.0	0.0
275	519.3836965577946	11.284364	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	687517.56
276	781.1883319666208	11.310134	0	1100859.2	989860.75	977494.56	1107015.2	1100859.2	989860.75	977494.56	1133306.2
277	776.2332702852473	11.311631	0	1175053.2	1059289.1	1006307.44	1212755.5	1175053.2	1059289.1	1006307.44	2021447.1
278	804.2640567081228	11.310481	0	477600.72	567866.56	519937.25	396383.56	477600.72	567866.56	519937.25	515454.4
279	519.383678982872	11.432429	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	976792.7
280	787.6004711395706	11.442819	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	406966.34
281	435.3259143139717	11.4909	0	0.0	0.0	0.0	851507.1	0.0	0.0	0.0	2265094.0
282	408.3023767133617	11.519475	0	1108089.4	1011412.44	1219005.1	947693.1	1108089.4	1011412.44	1219005.1	814548.2
283	531.4082559657811	11.575304	0	3077441.2	3169518.5	2873572.0	3182755.8	3077441.2	3169518.5	2873572.0	3254737.2
284	553.3901905686113	11.575304	0	5367679.0	5176112.0	4808328.5	5422655.0	5367679.0	5176112.0	4808328.5	5450663.5
285	576.465907012594	11.57645	0	1484607.8	1903268.5	1715100.1	1307127.9	1484607.8	1903268.5	1715100.1	1261628.8
286	850.251932986838	11.810353	0	668704.75	600961.75	538113.8	671518.06	668704.75	600961.75	538113.8	1098291.8
287	855.2069186775665	11.80944	0	593075.06	508442.3	572801.0	626635.2	593075.06	508442.3	572801.0	714899.44
288	541.1200577142537	11.897576	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	791570.44
289	564.1969850638919	11.897576	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	857008.75
290	536.1660976486994	11.898218	0	2403782.2	2612957.2	2948170.2	2339722.5	2403782.2	2612957.2	2948170.2	21725734.0
