formulaRank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScoreNormalized	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	compoundId	mappingFeatureId	overallFeatureQuality
1	C42H76NO8P	[M + H]+	C42H77NO8P+	1.000	1.000	45.604	45.604	0.000	21	0.797	5.058	5.058	0.555	PE(20:4_17:0)	754.539	408	6.802	847477530397780053	847477259525415700	847477259525415699	1114	
1	C44H80NO7P	[M + Na]+	C44H80NNaO7P+	1.000	1.000	136.832	136.832	0.000	36	0.888	5.482	5.482	0.645		788.557	408	6.802	847477535514831421	847477259558970136	847477259558970135	1115	
1	C46H86N3O7P	[M + H]+	C46H87N3O7P+	0.434	0.333	46.778	39.952	6.826	10	0.733	3.361	3.361	0.200		824.628	408	6.802	847477536102033995	847477259592524572	847477259592524571	1116	
1	C44H80NO7P	[M + H]+	C44H81NO7P+	1.000	1.000	40.645	32.419	8.226	7	0.973	4.371	4.371	0.591	PC 36:5	766.575	409	6.814	847477532843059577	847477259630273312	847477259630273311	1117	
1	C43H78NO8P	[M - H2O + H]+	C43H77NO7P+	1.000	0.329	118.182	109.200	8.981	38	0.781	4.438	4.438	-23996.442		750.543	409	6.823	847477537477765835	847477259663827748	847477259663827747	1118	
1	C39H75N5O9S	[M - H2O + H]+	C39H74N5O8S+	0.183	0.101	8.964	8.964	0.000	8	0.119	0.774	0.774	-23313.940		772.525	410	6.826	847477588082046778	847477259697382184	847477259697382183	1119	
1	C31H54N4O4S	[M - H2O + H]+	C31H53N4O3S+	0.270	0.213	8.377	8.377	0.000	2	0.412	6.834	6.834	-32084.292		561.382	411	6.845	847477550144564938	847477259764491056	847477259764491055	1121	
1	C34H60O	[M + H3N + H]+	C34H64NO+	1.000	0.333	132.012	125.346	6.665	37	0.821	2.261	2.261	0.493		502.498	411	6.845	847477533736446361	847477259798045492	847477259798045491	1122	
1	C45H82NO8P	[M + H]+	C45H83NO8P+	1.000	1.000	39.672	32.914	6.758	7	0.951	4.425	4.425	0.061		796.585	411	6.845	847477539272928015	847477259831599928	847477259831599927	1123	
1	C80H157NO16P2	[M + H3N + H]+	C80H161N2O16P2+	0.334	0.314	8.344	-0.671	9.015	0		0.751	0.751	0.520		1468.132	411	6.845	847477603596777982	847477259865154364	847477259865154363	1124	
